parent,child
body_part.n.01,tissue.n.01
body_part.n.01,structure.n.04
body_part.n.01,area.n.03
part.n.03,body_part.n.01
part.n.03,corner.n.09
thing.n.12,part.n.03
thing.n.12,body_of_water.n.01
dressing.n.06,investment.n.05
covering.n.04,dressing.n.06
protection.n.01,covering.n.04
promotion.n.02,investment.n.06
change.n.03,promotion.n.02
change.n.03,motion.n.03
change.n.03,change_of_state.n.01
change.n.03,motion.n.06
change.n.03,change_of_integrity.n.01
change.n.03,change_of_magnitude.n.01
change.n.03,satisfaction.n.05
change.n.03,change_of_shape.n.01
action.n.01,change.n.03
action.n.01,accomplishment.n.01
action.n.01,arrival.n.02
action.n.01,playing.n.02
curiosity.n.01,interest.n.01
cognitive_state.n.01,curiosity.n.01
psychological_state.n.01,cognitive_state.n.01
psychological_state.n.01,enchantment.n.02
condition.n.01,psychological_state.n.01
condition.n.01,atmosphere.n.01
condition.n.01,anchorage.n.01
condition.n.01,susceptibility.n.01
condition.n.01,physical_condition.n.01
condition.n.01,need.n.01
condition.n.01,difficulty.n.03
state.n.02,condition.n.01
state.n.02,nonbeing.n.01
state.n.02,hostility.n.02
state.n.02,feeling.n.01
state.n.02,situation.n.01
state.n.02,status.n.01
state.n.02,obligation.n.02
state.n.02,being.n.01
state.n.02,condition.n.03
state.n.02,office.n.04
state.n.02,relationship.n.03
state.n.02,action.n.02
power.n.01,interest.n.03
fixed_charge.n.01,interest.n.04
fixed_charge.n.01,fee.n.01
charge.n.03,fixed_charge.n.01
charge.n.03,poundage.n.01
social_group.n.01,interest.n.06
social_group.n.01,gathering.n.01
social_group.n.01,organization.n.01
social_group.n.01,political_system.n.01
social_group.n.01,kin.n.02
social_group.n.01,set.n.05
social_group.n.01,tribe.n.01
social_group.n.01,platoon.n.03
social_group.n.01,body.n.02
group.n.01,social_group.n.01
group.n.01,biological_group.n.01
group.n.01,kingdom.n.06
group.n.01,collection.n.01
group.n.01,arrangement.n.02
group.n.01,people.n.01
income.n.01,net_income.n.01
financial_gain.n.01,income.n.01
gain.n.04,financial_gain.n.01
sum.n.01,gain.n.04
store.n.02,hoard.n.01
accumulation.n.04,store.n.02
net_income.n.01,accumulation.n.04
precious_metal.n.01,gold.n.01
precious_metal.n.01,silver.n.02
valuable.n.01,precious_metal.n.01
treasure.n.01,valuable.n.01
wealth.n.03,treasure.n.01
wealth.n.03,gold.n.04
material_resource.n.01,wealth.n.03
noble_metal.n.01,gold.n.03
noble_metal.n.01,silver.n.01
noble_metal.n.01,platinum.n.01
metallic_element.n.01,noble_metal.n.01
metallic_element.n.01,zinc.n.01
metallic_element.n.01,titanium.n.01
metallic_element.n.01,potassium.n.01
metallic_element.n.01,magnesium.n.01
metallic_element.n.01,lithium.n.01
metallic_element.n.01,iron.n.01
metallic_element.n.01,copper.n.01
metallic_element.n.01,calcium.n.01
metallic_element.n.01,cadmium.n.01
