parent,child
person.n.01,leader.n.01
person.n.01,adult.n.01
person.n.01,female.n.02
person.n.01,religious_person.n.01
person.n.01,peer.n.01
person.n.01,friend.n.01
person.n.01,domestic_partner.n.01
person.n.01,male.n.02
person.n.01,communicator.n.01
person.n.01,simpleton.n.01
person.n.01,capitalist.n.02
person.n.01,sensualist.n.01
person.n.01,preserver.n.03
person.n.01,enrollee.n.01
person.n.01,unskilled_person.n.01
person.n.01,expert.n.01
person.n.01,unwelcome_person.n.01
person.n.01,tiger.n.01
person.n.01,mouse.n.03
person.n.01,follower.n.01
person.n.01,bad_person.n.01
person.n.01,amerindian.n.01
person.n.01,person_of_color.n.01
person.n.01,victim.n.02
person.n.01,innocent.n.01
person.n.01,man.n.03
person.n.01,inhabitant.n.01
person.n.01,weasel.n.01
person.n.01,disputant.n.01
person.n.01,black.n.05
person.n.01,white.n.01
person.n.01,scientist.n.01
person.n.01,unfortunate.n.01
person.n.01,blond.n.01
person.n.01,advocate.n.01
person.n.01,subject.n.06
person.n.01,user.n.01
person.n.01,entertainer.n.01
person.n.01,dresser.n.02
person.n.01,juvenile.n.01
person.n.01,counter.n.05
person.n.01,drug_user.n.01
person.n.01,liver.n.03
person.n.01,face.n.05
person.n.01,contestant.n.01
person.n.01,authority.n.02
person.n.01,money_handler.n.01
person.n.01,adjudicator.n.01
person.n.01,intellectual.n.01
person.n.01,fiduciary.n.01
person.n.01,traveler.n.01
person.n.01,nonworker.n.01
person.n.01,ruler.n.01
person.n.01,killer.n.01
person.n.01,radical.n.03
person.n.01,measurer.n.01
person.n.01,commoner.n.01
person.n.01,combatant.n.01
person.n.01,engineer.n.01
person.n.01,creator.n.02
person.n.01,literate.n.01
person.n.01,planner.n.01
person.n.01,actor.n.02
person.n.01,gambler.n.01
person.n.01,party.n.05
person.n.01,waiter.n.02
person.n.01,adventurer.n.01
person.n.01,owner.n.02
person.n.01,jumper.n.01
person.n.01,modern.n.01
person.n.01,visionary.n.01
person.n.01,primitive.n.01
person.n.01,copycat.n.01
person.n.01,ostrich.n.01
person.n.01,anomaly.n.02
person.n.01,native.n.01
person.n.01,hope.n.04
person.n.01,homosexual.n.01
person.n.01,leo.n.01
person.n.01,cancer.n.02
person.n.01,immune.n.01
person.n.01,learner.n.01
causal_agent.n.01,person.n.01
causal_agent.n.01,agent.n.03
causal_agent.n.01,operator.n.02
causal_agent.n.01,vital_principle.n.01
causal_agent.n.01,engine.n.02
causal_agent.n.01,agent.n.01
organism.n.01,person.n.01
organism.n.01,microorganism.n.01
organism.n.01,animal.n.01
organism.n.01,plant.n.02
organism.n.01,individual.n.02
organism.n.01,fungus.n.01
organism.n.01,parasite.n.01
organism.n.01,carrier.n.11
living_thing.n.01,organism.n.01
living_thing.n.01,cell.n.02
batholith.n.01,granite.n.01
igneous_rock.n.01,batholith.n.01
rock.n.02,igneous_rock.n.01
rock.n.02,marble.n.01
rock.n.02,limestone.n.01
rock.n.02,sedimentary_rock.n.01
rock.n.02,gravel.n.01
steadiness.n.02,granite.n.02
immovability.n.01,steadiness.n.02
immobility.n.02,immovability.n.01
ball.n.01,marble.n.02
ball.n.01,bowl.n.07
ball.n.01,football.n.02
ball.n.01,baseball.n.02
ball.n.01,basketball.n.02
ball.n.01,volleyball.n.02
ball.n.01,softball.n.01
ball.n.01,handball.n.01
ball.n.01,jack.n.05
game_equipment.n.01,ball.n.01
game_equipment.n.01,man.n.10
game_equipment.n.01,counter.n.02
game_equipment.n.01,game.n.09
game_equipment.n.01,jack.n.07
equipment.n.01,game_equipment.n.01
equipment.n.01,sports_equipment.n.01
equipment.n.01,photographic_equipment.n.01
equipment.n.01,electronic_equipment.n.01
equipment.n.01,gear.n.04
equipment.n.01,apparatus.n.01
equipment.n.01,recorder.n.01
instrumentality.n.03,equipment.n.01
instrumentality.n.03,device.n.01
instrumentality.n.03,implement.n.01
instrumentality.n.03,connection.n.03
instrumentality.n.03,container.n.01
instrumentality.n.03,conveyance.n.03
instrumentality.n.03,medium.n.01
instrumentality.n.03,toiletry.n.01
instrumentality.n.03,furnishing.n.02
instrumentality.n.03,system.n.01
instrumentality.n.03,weaponry.n.01
instrumentality.n.03,ceramic.n.01
stain.v.01,marble.v.01
dye.v.01,stain.v.01
dye.v.01,bronze.v.01
chrysolite.n.01,peridot.n.01
olivine.n.01,chrysolite.n.01
rock_crystal.n.01,rhinestone.n.01
time_unit.n.01,hour.n.01
time_unit.n.01,minute.n.01
time_unit.n.01,second.n.01
time_unit.n.01,day.n.01
time_unit.n.01,month.n.02
time_unit.n.01,millisecond.n.01
time_unit.n.01,microsecond.n.01
time_unit.n.01,night.n.04
measure.n.02,time_unit.n.01
measure.n.02,fundamental_quantity.n.01
measure.n.02,definite_quantity.n.01
measure.n.02,time_interval.n.01
measure.n.02,point.n.06
measure.n.02,indefinite_quantity.n.01
measure.n.02,system_of_measurement.n.01
measure.n.02,volume.n.01
measure.n.02,volume.n.05
measure.n.02,playing_period.n.01
hour.n.02,twilight.n.01
hour.n.02,dawn.n.01
clock_time.n.01,hour.n.02
reading.n.03,clock_time.n.01
datum.n.01,reading.n.03
datum.n.01,statistic.n.01
information.n.02,datum.n.01
information.n.02,fact.n.01
information.n.02,evidence.n.01
information.n.02,background.n.03
information.n.02,stimulation.n.02
cognition.n.01,information.n.02
cognition.n.01,content.n.05
cognition.n.01,inability.n.01
cognition.n.01,history.n.05
cognition.n.01,process.n.02
cognition.n.01,ability.n.02
cognition.n.01,vocabulary.n.02
cognition.n.01,structure.n.03
cognition.n.01,mind.n.01
cognition.n.01,place.n.03
cognition.n.01,attitude.n.01
cognition.n.01,public_knowledge.n.01
cognition.n.01,cognitive_factor.n.01
psychological_feature.n.01,cognition.n.01
psychological_feature.n.01,event.n.01
psychological_feature.n.01,motivation.n.01
time_period.n.01,hour.n.03
time_period.n.01,year.n.01
time_period.n.01,year.n.02
time_period.n.01,year.n.03
time_period.n.01,time.n.03
time_period.n.01,calendar_day.n.01
time_period.n.01,day.n.04
time_period.n.01,work_time.n.01
time_period.n.01,era.n.01
time_period.n.01,day.n.07
time_period.n.01,century.n.01
time_period.n.01,decade.n.01
